UNIDAD OPERATIVA,PROVEEDOR,SERIAL,MARCA,MODELO,TIPO DE EQUIPO,OBSERVACIONES
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314QB,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1171TJ1,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314S3,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314RP,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314RW,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314S2,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1031DGB,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314S9,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314PF,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR102112N,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314SW,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314SH,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314S1,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314RV,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314SK,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314Q3,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1010HS1,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314QW,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1171TK2,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314SL,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR102113K,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314RS,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314QC,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1010GKW,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1010GLM,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR103141F,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1010GKZ,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1031438,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR10314Q6,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1010GLG,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1010GLJ,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1010D40,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR1010GL2,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,SOLUCIONES TECNOLÓGICAS ESPECIALIZADAS. S.A. DE C.V.,1CR103142B,HP,P24v G4 FHD Monitor US,MONITOR,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",7VKSR93,DELL,Latitude 3420,L2_Equipo Portatil Intermedio,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",9GRSR83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539246,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",6PGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",R4V1523227,KYOCERA,M3145IDN,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",36DTR93,DELL,Latitude 3420,L2_Equipo Portatil Intermedio,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",9PY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539248,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",6NGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",R4V1523863,KYOCERA,M3145IDN,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",8SY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539183,Kensington,K67819WW,P4_ Candado de combinacion para docking ,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",F6DTR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",4RY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539175,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",7BGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",7RY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539244,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",G9GSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",3RY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539236,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",96DTR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",CPY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539233,KENSINGTON,K67819WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",56DTR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",2SY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539230,KENSINGTON,K67819WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",F8GSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",BJY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539229,KENSINGTON,K67819WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",CBGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",1SY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539180,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",JBGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",JPY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539234,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",F9GSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",F1JCR83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539247,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",H8GSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",4QY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539232,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",5BGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",7QY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539245,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",G5DTR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",JFY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539239,KENSINGTON,K67819WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",19GSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",GRY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539238,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",B6DTR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",JGKSR93,DELL,Latitude 3420,L2_Equipo Portatil Intermedio,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",DRY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539176,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",35DTR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",R4V1524036,KYOCERA,M3145IDN,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",5QY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539241,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",8NGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",7RY3S83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539243,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",9PGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",R4V1523917,KYOCERA,M3145IDN,MULTIFUNCIONAL,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760116,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760155,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760156,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760154,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760183,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760181,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760182,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760127,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760129,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760128,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760139,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760137,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760136,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760115,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760126,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760124,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760125,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760104,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760105,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760122,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760123,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760153,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760151,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760091,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760096,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760118,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760170,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760169,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760135,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760134,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760099,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760098,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760097,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760095,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760094,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760103,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760113,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760114,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760112,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760110,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760111,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760109,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760106,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760108,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760107,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760141,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760140,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760117,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760161,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760162,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760160,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760152,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760143,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760144,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760100,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760102,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760101,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760120,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760119,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"SYNNEX DE MÉXICO, S.A. DE C.V.",201115'3760121,CDP,R-SMART 751,NOBREAK,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",3GRSR83,DELL,P2319H,L2_Monitor,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",539231,KENSINGTON,K64442WW,P4_Candado de Combinación para Docking,
UNIDAD OPERATIVA JALISCO,"FOCUS ON SERVICES, S.A. DE C.V.",HNGSR93,DELL,Latitude 3420,L2_Equipo Portatil Avanzado,
UNIDAD OPERATIVA JALISCO,"INDUSTRIAS SANDOVAL, S.A. DE C.V.",R4V1523927,KYOCERA,M3145IDN,MULTIFUNCIONAL,
